EmployeeNumber,Age,Attrition,Department,Gender,JobRole,MaritalStatus,MonthlyIncome,OverTime,Performance_status,Age_Group,Education_Level,JobInvolvement_level,Jobsatisfaction_Level,Distance_status,YearAtCompany_status
1019,22,No,Research & Development,Male,Laboratory Technician,Married,2451,No,High,18-25,Below College,Low,Low,Near,1-Star
1022,48,No,Research & Development,Male,Healthcare Representative,Single,4240,No,High,46-55,Bachelor,Medium,High,Near,Newbies
1024,48,No,Research & Development,Male,Healthcare Representative,Single,10999,No,High,46-55,Masters,Medium,High,Near,3-Star
1025,41,No,Research & Development,Female,Manufacturing Director,Single,5003,No,High,35-46,College,High,High,Near,Newbies
1026,39,No,Research & Development,Female,Manufacturing Director,Married,12742,No,High,35-46,Below College,Medium,Very-High,Near,5-Star
1027,27,No,Research & Development,Female,Manufacturing Director,Married,4227,No,High,26-35,Masters,High,Very-High,Near,1-Star
1028,35,No,Research & Development,Male,Laboratory Technician,Divorced,3917,No,Low,26-35,Bachelor,High,Very-High,Near,1-Star
1029,42,No,Sales,Male,Manager,Married,18303,No,High,35-46,College,High,High,Near,Newbies
1030,50,No,Research & Development,Male,Laboratory Technician,Married,2380,No,High,46-55,Bachelor,High,Very-High,Near,Newbies
1032,59,No,Research & Development,Female,Manufacturing Director,Single,13726,Yes,High,56?,Bachelor,Medium,Very-High,Near,1-Star
1033,37,Yes,Research & Development,Female,Healthcare Representative,Married,4777,No,High,35-46,College,Low,Medium,Far,Newbies
1034,55,No,Research & Development,Male,Healthcare Representative,Married,6385,Yes,High,46-55,Masters,High,Medium,Far,2-Star
1035,41,No,Research & Development,Female,Research Director,Divorced,19973,No,Low,35-46,Below College,Low,High,Near,5-Star
1036,38,No,Sales,Male,Sales Executive,Single,6861,Yes,High,35-46,Masters,High,Very-High,Near,Newbies
1037,26,Yes,Sales,Male,Sales Executive,Single,4969,No,High,26-35,College,Low,Low,Very-Far,Newbies
1038,52,Yes,Sales,Female,Manager,Married,19845,No,High,46-55,Below College,Low,Very-High,Near,Elders
1039,44,No,Sales,Female,Sales Executive,Married,13320,Yes,High,35-46,Bachelor,Very-High,Very-High,Very-Far,3-Star
1040,50,No,Sales,Female,Sales Executive,Married,6347,No,High,46-55,Bachelor,High,High,Near,4-Star
1042,36,Yes,Research & Development,Female,Laboratory Technician,Single,2743,No,High,35-46,Masters,Very-High,Low,Far,4-Star
1043,39,No,Research & Development,Female,Manufacturing Director,Single,10880,Yes,High,35-46,Bachelor,High,Low,Very-Far,5-Star
1044,33,No,Sales,Female,Sales Representative,Single,2342,No,High,26-35,Below College,Medium,Very-High,Near,Newbies
1045,45,No,Sales,Female,Manager,Married,17650,No,High,35-46,College,High,Very-High,Far,2-Star
1046,32,No,Research & Development,Female,Laboratory Technician,Single,4025,No,High,26-35,Masters,High,High,Very-Far,2-Star
1047,34,No,Sales,Male,Sales Executive,Divorced,9725,No,High,26-35,Masters,Very-High,Very-High,Near,3-Star
1048,59,No,Sales,Male,Manager,Married,11904,Yes,High,56?,College,High,Very-High,Near,2-Star
1049,45,No,Human Resources,Male,Human Resources,Single,2177,No,High,35-46,Masters,High,Medium,Very-Far,2-Star
1050,53,No,Sales,Female,Sales Executive,Married,7525,No,High,46-55,Bachelor,Medium,Medium,Near,3-Star
1052,36,Yes,Research & Development,Male,Laboratory Technician,Divorced,4834,No,High,35-46,Bachelor,High,High,Far,Newbies
1053,26,Yes,Research & Development,Male,Research Scientist,Married,2042,Yes,High,26-35,Bachelor,High,Low,Near,1-Star
1055,34,No,Sales,Female,Sales Representative,Married,2220,Yes,High,26-35,Masters,High,High,Near,Newbies
1056,28,No,Sales,Male,Sales Representative,Married,1052,No,Low,26-35,Below College,High,Medium,Near,Newbies
1060,38,No,Research & Development,Male,Research Scientist,Married,2821,No,High,35-46,Masters,High,High,Near,Newbies
1061,50,No,Research & Development,Male,Research Director,Married,19237,Yes,High,46-55,Masters,High,High,Near,2-Star
1062,37,No,Research & Development,Female,Healthcare Representative,Single,4107,No,High,35-46,Bachelor,High,Medium,Near,1-Star
1066,40,No,Sales,Male,Sales Executive,Married,8396,No,High,35-46,Bachelor,High,Low,Very-Far,2-Star
1068,26,No,Research & Development,Female,Research Scientist,Divorced,2007,No,High,26-35,Below College,Medium,High,Near,1-Star
1069,46,No,Research & Development,Male,Research Director,Divorced,19627,No,High,46-55,Masters,High,Very-High,Near,Newbies
1070,54,No,Sales,Female,Sales Executive,Married,10686,No,High,46-55,Masters,Medium,High,Near,2-Star
1071,56,No,Research & Development,Female,Research Scientist,Married,2942,No,High,56?,Bachelor,High,High,Near,1-Star
1073,36,No,Research & Development,Female,Manufacturing Director,Single,8858,No,High,35-46,Doctor,Medium,Very-High,Far,3-Star
1074,55,No,Research & Development,Male,Manager,Single,16756,No,High,46-55,Below College,Medium,Low,Near,2-Star
1076,43,No,Sales,Male,Sales Executive,Divorced,10798,No,High,35-46,Bachelor,Medium,Very-High,Very-Far,Newbies
1077,20,Yes,Sales,Female,Sales Representative,Single,2323,Yes,High,18-25,Bachelor,High,Very-High,Near,Newbies
1079,21,Yes,Research & Development,Female,Laboratory Technician,Single,1416,No,High,18-25,Bachelor,Medium,Low,Near,Newbies
1080,46,No,Research & Development,Female,Research Scientist,Divorced,4615,Yes,Low,46-55,Masters,Medium,Low,Near,4-Star
1081,51,Yes,Research & Development,Male,Research Scientist,Married,2461,Yes,High,46-55,Masters,High,High,Near,2-Star
1082,28,Yes,Research & Development,Male,Healthcare Representative,Single,8722,No,High,26-35,College,Medium,Low,Very-Far,2-Star
1083,26,No,Research & Development,Male,Laboratory Technician,Married,3955,No,High,26-35,College,Medium,Low,Near,1-Star
1084,30,No,Research & Development,Male,Manufacturing Director,Married,9957,No,High,26-35,Bachelor,High,Low,Far,2-Star
1085,41,No,Research & Development,Female,Research Scientist,Married,3376,No,High,35-46,College,Very-High,High,Near,2-Star
1088,38,No,Research & Development,Female,Healthcare Representative,Married,8823,No,High,35-46,Below College,Medium,High,Far,4-Star
1092,40,No,Research & Development,Male,Healthcare Representative,Married,10322,No,Low,35-46,Masters,High,Very-High,Far,3-Star
1094,27,No,Research & Development,Male,Laboratory Technician,Married,4621,No,High,26-35,Doctor,Low,High,Near,1-Star
1096,55,No,Research & Development,Male,Manufacturing Director,Married,10976,No,High,46-55,Below College,High,Medium,Near,1-Star
1097,28,No,Research & Development,Female,Research Scientist,Single,3660,No,High,26-35,Bachelor,High,High,Near,2-Star
1098,44,Yes,Human Resources,Male,Human Resources,Married,10482,No,High,35-46,College,Medium,Low,Near,4-Star
1099,33,No,Research & Development,Male,Healthcare Representative,Divorced,7119,No,High,26-35,Bachelor,Medium,Very-High,Near,1-Star
1100,35,Yes,Sales,Male,Sales Executive,Single,9582,Yes,Low,26-35,Bachelor,High,Low,Near,2-Star
1101,33,Yes,Research & Development,Female,Research Scientist,Single,4508,No,Low,26-35,Masters,Medium,High,Very-Far,3-Star
1102,28,No,Research & Development,Male,Laboratory Technician,Divorced,2207,No,High,26-35,College,High,High,Far,1-Star
1103,34,No,Research & Development,Male,Healthcare Representative,Single,7756,No,High,26-35,Below College,High,Very-High,Near,2-Star
1105,37,No,Sales,Female,Sales Executive,Divorced,6694,Yes,High,35-46,Masters,Medium,Very-High,Near,Newbies
1106,25,Yes,Research & Development,Male,Laboratory Technician,Married,3691,Yes,High,18-25,Below College,High,Very-High,Near,2-Star
1107,26,Yes,Research & Development,Male,Laboratory Technician,Divorced,2377,No,Low,26-35,Bachelor,High,High,Very-Far,Newbies
1108,33,Yes,Research & Development,Male,Research Scientist,Single,2313,Yes,Low,26-35,Bachelor,Medium,Medium,Very-Far,Newbies
1109,42,No,Research & Development,Male,Manager,Married,17665,No,High,35-46,College,High,Low,Near,5-Star
1111,28,Yes,Research & Development,Male,Laboratory Technician,Divorced,2596,No,High,26-35,Bachelor,Medium,Medium,Near,Newbies
1113,50,Yes,Sales,Male,Sales Executive,Single,4728,Yes,High,46-55,Masters,High,High,Near,Newbies
1114,33,No,Sales,Female,Sales Executive,Married,4302,No,High,26-35,Bachelor,High,Medium,Near,1-Star
1115,34,No,Research & Development,Male,Research Scientist,Married,2979,No,High,26-35,Masters,Medium,Very-High,Near,Newbies
1116,48,No,Research & Development,Male,Manager,Single,16885,No,Low,46-55,Masters,Very-High,Very-High,Near,1-Star
1117,45,No,Sales,Female,Sales Executive,Married,5593,No,High,35-46,Masters,Medium,High,Near,3-Star
1118,52,No,Research & Development,Male,Healthcare Representative,Single,10445,No,High,46-55,Masters,High,Medium,Near,2-Star
1119,38,No,Sales,Male,Sales Executive,Divorced,8740,Yes,High,35-46,Masters,Medium,High,Near,2-Star
1120,29,No,Research & Development,Female,Research Scientist,Divorced,2514,No,Low,26-35,Masters,High,Very-High,Very-Far,2-Star
1121,28,No,Research & Development,Female,Manufacturing Director,Divorced,7655,No,High,26-35,Bachelor,High,Medium,Near,2-Star
1124,46,No,Sales,Male,Manager,Married,17465,No,High,46-55,Below College,High,High,Near,3-Star
1125,38,No,Sales,Male,Sales Executive,Single,7351,No,High,35-46,College,High,Medium,Near,Newbies
1126,43,No,Research & Development,Female,Manufacturing Director,Married,10820,No,High,35-46,Bachelor,High,Low,Very-Far,2-Star
1127,39,Yes,Research & Development,Male,Healthcare Representative,Divorced,12169,No,High,35-46,Bachelor,High,Very-High,Near,4-Star
1128,40,No,Research & Development,Male,Research Director,Single,19626,No,High,35-46,Bachelor,Medium,High,Far,4-Star
1131,21,No,Research & Development,Female,Research Scientist,Single,2070,Yes,High,18-25,Below College,Medium,Medium,Near,Newbies
1132,39,No,Research & Development,Male,Laboratory Technician,Single,6782,No,High,35-46,Bachelor,High,Medium,Near,1-Star
1133,36,No,Research & Development,Male,Manufacturing Director,Single,7779,No,Low,35-46,Masters,High,Very-High,Far,3-Star
1135,31,No,Sales,Male,Sales Representative,Married,2791,No,High,26-35,Bachelor,Very-High,Very-High,Far,Newbies
1136,28,No,Research & Development,Male,Research Scientist,Married,3201,No,High,26-35,Below College,Medium,Medium,Near,1-Star
1137,35,No,Sales,Male,Sales Executive,Divorced,4968,No,High,26-35,College,High,Very-High,Far,1-Star
1138,49,No,Sales,Male,Sales Executive,Married,13120,No,High,46-55,Masters,Medium,Medium,Near,2-Star
1140,34,No,Research & Development,Male,Manufacturing Director,Single,4033,No,High,26-35,College,High,High,Near,1-Star
1143,29,No,Research & Development,Female,Research Scientist,Divorced,3291,No,High,26-35,Bachelor,High,Medium,Near,2-Star
1148,42,No,Research & Development,Male,Laboratory Technician,Single,4272,No,High,35-46,Bachelor,Low,Very-High,Very-Far,Newbies
1150,29,No,Research & Development,Male,Manufacturing Director,Married,5056,Yes,High,26-35,Below College,Medium,Very-High,Near,2-Star
1152,38,No,Human Resources,Male,Human Resources,Married,2844,No,High,35-46,Bachelor,Very-High,High,Near,2-Star
1154,28,No,Research & Development,Male,Research Scientist,Divorced,2703,Yes,High,26-35,Bachelor,Medium,High,Near,1-Star
1156,18,Yes,Research & Development,Male,Laboratory Technician,Single,1904,No,High,18-25,Below College,High,High,Near,Newbies
1157,33,Yes,Sales,Female,Sales Executive,Single,8224,Yes,High,26-35,Masters,High,Low,Near,1-Star
1158,41,No,Research & Development,Male,Laboratory Technician,Married,4766,Yes,High,35-46,Masters,High,Very-High,Far,Newbies
1160,31,Yes,Research & Development,Male,Laboratory Technician,Married,2610,No,High,26-35,Bachelor,High,High,Far,Newbies
1161,37,No,Research & Development,Female,Healthcare Representative,Divorced,5731,No,High,35-46,College,Medium,Very-High,Very-Far,2-Star
1162,27,No,Research & Development,Male,Research Scientist,Married,2539,No,High,26-35,Bachelor,Medium,High,Near,1-Star
1163,34,No,Sales,Female,Sales Executive,Married,5714,No,Low,26-35,Below College,High,High,Near,2-Star
1164,35,No,Human Resources,Male,Human Resources,Single,4323,No,High,26-35,Masters,High,High,Near,1-Star
1165,29,Yes,Sales,Female,Sales Executive,Married,7336,No,High,26-35,Below College,Medium,Low,Very-Far,3-Star
1166,40,No,Research & Development,Female,Research Director,Single,13499,No,High,35-46,Masters,High,High,Near,4-Star
1167,42,Yes,Sales,Male,Sales Executive,Single,13758,Yes,High,35-46,Bachelor,High,Low,Far,5-Star
1171,42,No,Sales,Male,Sales Executive,Single,5155,No,High,35-46,Masters,High,Low,Near,2-Star
1172,35,No,Research & Development,Male,Laboratory Technician,Married,2258,No,High,26-35,Masters,Medium,High,Near,2-Star
1173,24,No,Research & Development,Male,Laboratory Technician,Single,3597,No,Low,18-25,Bachelor,High,Medium,Very-Far,1-Star
1175,28,Yes,Research & Development,Female,Laboratory Technician,Married,2515,Yes,High,26-35,Below College,High,Very-High,Far,Newbies
1177,26,No,Research & Development,Male,Laboratory Technician,Married,4420,No,Low,26-35,Masters,Very-High,Very-High,Near,2-Star
1179,30,No,Sales,Male,Sales Executive,Married,6578,No,High,26-35,Bachelor,Medium,High,Near,2-Star
1180,40,No,Research & Development,Female,Research Scientist,Married,4422,Yes,High,35-46,College,Medium,Very-High,Very-Far,Newbies
1182,35,No,Research & Development,Male,Manufacturing Director,Divorced,10274,No,High,26-35,Bachelor,Medium,Medium,Near,2-Star
1184,34,No,Research & Development,Male,Healthcare Representative,Single,5343,No,Low,26-35,Bachelor,Medium,Low,Near,3-Star
1185,35,No,Research & Development,Male,Laboratory Technician,Married,2376,No,High,26-35,Masters,Medium,Very-High,Near,Newbies
1188,43,Yes,Sales,Female,Sales Executive,Single,5346,No,High,35-46,Bachelor,Low,High,Near,1-Star
1190,32,No,Sales,Female,Sales Representative,Divorced,2827,No,High,26-35,Below College,High,Low,Near,Newbies
1191,56,No,Research & Development,Female,Manager,Divorced,19943,No,High,56?,Masters,High,Low,Near,1-Star
1192,29,No,Research & Development,Female,Laboratory Technician,Married,3131,No,High,26-35,Below College,High,Very-High,Near,2-Star
1193,19,No,Research & Development,Male,Research Scientist,Single,2552,No,Low,18-25,College,High,Low,Near,Newbies
1195,45,No,Research & Development,Female,Research Scientist,Married,4477,Yes,High,35-46,Bachelor,High,High,Near,1-Star
1196,37,No,Research & Development,Female,Manufacturing Director,Married,6474,No,High,35-46,Bachelor,Medium,Very-High,Near,3-Star
1198,20,No,Research & Development,Male,Laboratory Technician,Single,3033,No,High,18-25,Bachelor,Medium,High,Near,Newbies
1200,44,Yes,Research & Development,Male,Research Scientist,Single,2936,Yes,High,35-46,Masters,High,High,Near,2-Star
1201,53,No,Research & Development,Female,Manager,Divorced,18606,No,High,46-55,College,High,High,Near,2-Star
1202,29,No,Research & Development,Female,Research Scientist,Married,2168,Yes,High,26-35,Below College,Low,Very-High,Far,1-Star
1203,22,Yes,Research & Development,Male,Research Scientist,Married,2853,Yes,High,18-25,Masters,Medium,Very-High,Near,Newbies
1204,46,No,Sales,Female,Manager,Married,17048,No,Low,46-55,Bachelor,High,Low,Near,Elders
1206,44,No,Research & Development,Male,Research Scientist,Single,2290,No,High,35-46,Bachelor,Low,High,Far,Newbies
1207,33,No,Human Resources,Male,Human Resources,Married,3600,No,High,26-35,Bachelor,High,High,Near,1-Star
1210,41,Yes,Research & Development,Male,Research Scientist,Divorced,2107,No,High,35-46,College,Medium,Low,Near,Newbies
1211,30,No,Sales,Male,Sales Executive,Divorced,4115,No,High,26-35,Masters,High,Low,Very-Far,1-Star
1212,40,No,Sales,Male,Sales Executive,Married,4327,No,High,35-46,Masters,High,Medium,Near,Newbies
1215,50,No,Research & Development,Female,Manager,Married,17856,No,Low,46-55,Bachelor,High,Low,Near,Newbies
1216,28,No,Research & Development,Male,Laboratory Technician,Married,3196,No,High,26-35,Masters,Medium,Low,Far,2-Star
1217,46,No,Research & Development,Male,Research Director,Married,19081,No,High,46-55,College,High,Medium,Far,1-Star
1218,35,No,Sales,Male,Sales Executive,Married,8966,Yes,High,26-35,Masters,High,Low,Far,2-Star
1219,24,Yes,Research & Development,Female,Laboratory Technician,Married,2210,No,High,18-25,College,High,Medium,Far,Newbies
1220,33,No,Sales,Female,Sales Executive,Married,4539,No,High,26-35,Bachelor,High,High,Very-Far,2-Star
1221,36,No,Research & Development,Male,Laboratory Technician,Divorced,2741,No,High,35-46,Masters,Low,High,Near,2-Star
1224,30,No,Research & Development,Male,Laboratory Technician,Divorced,3491,No,High,26-35,Masters,High,High,Near,2-Star
1225,44,No,Research & Development,Male,Research Scientist,Single,4541,No,Low,35-46,Masters,High,Very-High,Very-Far,4-Star
1226,20,No,Sales,Male,Sales Representative,Single,2678,No,High,18-25,Bachelor,Very-High,Very-High,Very-Far,Newbies
1228,46,No,Research & Development,Male,Manufacturing Director,Divorced,7379,No,High,46-55,Masters,High,Very-High,Near,2-Star
1231,42,No,Human Resources,Male,Human Resources,Married,6272,No,High,35-46,Doctor,Very-High,Low,Near,1-Star
1233,60,No,Sales,Male,Sales Executive,Divorced,5220,Yes,High,56?,Masters,Very-High,Very-High,Near,3-Star
1234,32,No,Research & Development,Female,Laboratory Technician,Married,2743,No,Low,26-35,Bachelor,Medium,Medium,Far,Newbies
1235,32,No,Research & Development,Female,Research Scientist,Single,4998,Yes,High,26-35,College,High,High,Near,2-Star
1237,36,No,Research & Development,Female,Manufacturing Director,Divorced,10252,Yes,Low,35-46,Bachelor,Low,Low,Near,2-Star
1238,33,No,Research & Development,Male,Research Scientist,Married,2781,No,High,26-35,Bachelor,High,Very-High,Near,3-Star
1239,40,No,Sales,Female,Sales Executive,Divorced,6852,No,High,35-46,Bachelor,Medium,Medium,Near,1-Star
1240,25,No,Sales,Male,Sales Executive,Single,4950,No,High,18-25,Masters,High,Very-High,Near,1-Star
1241,30,No,Research & Development,Male,Research Scientist,Married,3579,Yes,Low,26-35,Bachelor,High,Medium,Near,3-Star
1242,42,No,Research & Development,Female,Research Director,Married,13191,Yes,High,35-46,Doctor,High,Low,Very-Far,Newbies
1243,35,No,Sales,Female,Sales Executive,Married,10377,Yes,High,26-35,College,Medium,Very-High,Near,3-Star
1244,27,No,Research & Development,Male,Research Scientist,Married,2235,Yes,High,26-35,Bachelor,High,Low,Far,2-Star
1245,54,No,Research & Development,Female,Manufacturing Director,Divorced,10502,No,High,46-55,Masters,High,High,Near,1-Star
1246,44,No,Research & Development,Female,Research Scientist,Married,2011,No,High,35-46,Below College,Very-High,Very-High,Near,2-Star
1248,19,Yes,Research & Development,Female,Research Scientist,Single,1859,Yes,Low,18-25,Bachelor,Medium,Medium,Near,Newbies
1249,29,No,Research & Development,Female,Research Scientist,Divorced,3760,No,High,26-35,Bachelor,High,Very-High,Near,1-Star
1250,54,No,Research & Development,Male,Research Director,Married,17779,No,High,46-55,Bachelor,High,Very-High,Near,2-Star
1251,31,No,Research & Development,Male,Healthcare Representative,Married,6833,Yes,High,26-35,College,High,Low,Far,2-Star
1252,31,No,Research & Development,Female,Healthcare Representative,Single,6812,No,High,26-35,Bachelor,Medium,Low,Very-Far,2-Star
1254,59,No,Sales,Female,Sales Executive,Single,5171,No,High,56?,Bachelor,Medium,Very-High,Near,2-Star
1255,43,No,Research & Development,Male,Research Director,Married,19740,No,High,35-46,Bachelor,Low,Very-High,Near,2-Star
1256,49,No,Research & Development,Male,Manager,Married,18711,No,High,46-55,College,Medium,High,Near,Newbies
1257,36,No,Research & Development,Male,Research Scientist,Married,3692,No,High,35-46,Bachelor,High,Medium,Near,3-Star
1258,48,No,Research & Development,Male,Laboratory Technician,Single,2559,No,High,46-55,College,Very-High,Medium,Near,Newbies
1259,27,No,Research & Development,Male,Research Scientist,Divorced,2517,No,High,26-35,College,High,High,Near,1-Star
1260,29,No,Research & Development,Male,Healthcare Representative,Divorced,6623,Yes,High,26-35,Bachelor,High,Very-High,Near,2-Star
1263,48,No,Research & Development,Male,Research Director,Single,18265,No,High,46-55,Bachelor,Medium,Very-High,Near,Newbies
1264,29,No,Research & Development,Female,Research Director,Divorced,16124,No,High,26-35,Bachelor,Medium,Very-High,Near,2-Star
1265,34,No,Research & Development,Female,Research Scientist,Married,2585,No,High,26-35,Bachelor,Very-High,High,Far,Newbies
1267,44,No,Sales,Male,Manager,Married,18213,No,High,35-46,Bachelor,High,Medium,Near,5-Star
1268,33,No,Sales,Male,Sales Executive,Divorced,8380,Yes,High,26-35,Doctor,Very-High,High,Near,2-Star
1269,19,No,Research & Development,Female,Research Scientist,Single,2994,Yes,High,18-25,Bachelor,Very-High,Very-High,Very-Far,Newbies
1270,23,No,Research & Development,Male,Research Scientist,Married,1223,No,Low,18-25,College,High,High,Near,Newbies
1273,25,Yes,Sales,Male,Sales Representative,Single,1118,Yes,High,18-25,Below College,Low,Very-High,Very-Far,Newbies
1275,26,No,Research & Development,Male,Research Scientist,Single,2875,Yes,Low,26-35,College,High,Very-High,Near,2-Star
1277,45,Yes,Sales,Female,Manager,Single,18824,Yes,High,35-46,Bachelor,Low,Medium,Near,5-Star
1278,55,No,Research & Development,Male,Healthcare Representative,Divorced,13577,Yes,High,46-55,Below College,Medium,Medium,Near,Elders
1279,21,Yes,Research & Development,Female,Laboratory Technician,Single,2625,No,Low,18-25,College,Medium,High,Near,Newbies
1280,46,No,Sales,Female,Manager,Married,18789,No,High,46-55,College,Medium,Medium,Near,3-Star
1281,34,No,Sales,Female,Sales Executive,Single,4538,Yes,High,26-35,Bachelor,High,Low,Near,1-Star
1282,51,No,Sales,Male,Manager,Divorced,19847,Yes,Low,46-55,Bachelor,High,Medium,Near,Elders
1283,59,No,Research & Development,Male,Manufacturing Director,Single,10512,No,High,56?,Masters,High,Very-High,Far,2-Star
1285,34,No,Research & Development,Female,Laboratory Technician,Divorced,4444,No,High,26-35,Bachelor,High,Medium,Far,3-Star
1286,28,No,Research & Development,Male,Laboratory Technician,Single,2154,Yes,High,26-35,Masters,High,High,Near,1-Star
1288,44,No,Research & Development,Male,Manager,Divorced,19190,No,High,35-46,College,Very-High,Low,Near,5-Star
1289,34,No,Human Resources,Male,Human Resources,Married,4490,No,High,26-35,Bachelor,Medium,Medium,Far,2-Star
1291,35,No,Research & Development,Male,Research Scientist,Married,3506,Yes,High,26-35,Below College,High,High,Near,1-Star
1292,42,No,Research & Development,Female,Research Scientist,Married,2372,Yes,High,35-46,Masters,Very-High,Medium,Near,Newbies
1293,43,No,Sales,Female,Sales Executive,Single,10231,No,High,35-46,Masters,Medium,Very-High,Near,5-Star
1294,36,No,Research & Development,Female,Manufacturing Director,Single,5410,Yes,High,35-46,Masters,High,Medium,Near,4-Star
1295,44,Yes,Research & Development,Female,Healthcare Representative,Married,7978,No,High,35-46,Bachelor,High,Very-High,Far,2-Star
1296,28,No,Research & Development,Male,Laboratory Technician,Married,3867,Yes,High,26-35,Bachelor,Medium,Very-High,Near,Newbies
1297,51,No,Research & Development,Female,Laboratory Technician,Single,2838,No,High,46-55,College,Medium,High,Near,2-Star
1298,30,No,Research & Development,Female,Manufacturing Director,Single,4695,Yes,High,26-35,College,High,High,Near,2-Star
1299,29,Yes,Research & Development,Female,Laboratory Technician,Divorced,3339,Yes,High,26-35,Bachelor,High,High,Near,2-Star
1301,28,No,Research & Development,Male,Research Scientist,Single,2080,No,High,26-35,Bachelor,High,Low,Near,1-Star
1303,25,No,Research & Development,Female,Research Scientist,Single,2096,No,High,18-25,Bachelor,High,Medium,Near,Newbies
1304,32,No,Sales,Male,Sales Executive,Married,6209,No,High,26-35,Bachelor,Very-High,Very-High,Near,2-Star
1306,45,No,Research & Development,Female,Manager,Single,18061,No,Low,35-46,Bachelor,High,Medium,Very-Far,Newbies
1307,39,No,Research & Development,Female,Manager,Divorced,17123,Yes,High,35-46,Masters,Medium,Medium,Far,4-Star
1308,58,No,Research & Development,Male,Research Scientist,Divorced,2372,No,High,56?,Masters,High,High,Very-Far,Newbies
1309,32,Yes,Research & Development,Male,Laboratory Technician,Married,4883,No,High,26-35,College,High,High,Near,2-Star
1310,39,Yes,Research & Development,Male,Research Scientist,Single,3904,No,High,35-46,Bachelor,High,Low,Very-Far,1-Star
1311,30,No,Research & Development,Female,Laboratory Technician,Married,4627,No,High,26-35,Bachelor,Medium,Very-High,Near,2-Star
1312,36,No,Research & Development,Female,Healthcare Representative,Married,7094,No,High,35-46,Masters,High,High,Near,2-Star
1314,46,No,Human Resources,Female,Human Resources,Single,3423,No,High,46-55,College,High,Low,Near,2-Star
1315,28,No,Research & Development,Female,Laboratory Technician,Married,6674,No,High,26-35,Bachelor,Low,Very-High,Near,2-Star
1317,50,No,Research & Development,Female,Research Director,Married,16880,Yes,High,46-55,Bachelor,High,Low,Very-Far,1-Star
1318,40,Yes,Sales,Male,Sales Executive,Single,9094,Yes,High,35-46,Masters,Medium,Medium,Very-Far,1-Star
1319,52,Yes,Sales,Male,Sales Executive,Single,8446,Yes,High,46-55,Bachelor,High,Medium,Near,2-Star
1321,30,No,Research & Development,Female,Manager,Married,11916,Yes,Low,26-35,Masters,High,Low,Far,2-Star
1322,39,No,Research & Development,Male,Manufacturing Director,Single,4534,No,High,35-46,College,High,High,Far,2-Star
1324,31,No,Sales,Female,Sales Executive,Divorced,9852,Yes,High,26-35,Masters,High,High,Near,2-Star
1329,41,No,Sales,Male,Sales Executive,Single,6151,No,High,35-46,College,Low,Medium,Near,4-Star
1331,31,Yes,Sales,Female,Sales Representative,Single,2302,Yes,High,26-35,Bachelor,High,Medium,Near,1-Star
1333,44,Yes,Research & Development,Male,Laboratory Technician,Married,2362,No,High,35-46,Bachelor,High,Low,Near,1-Star
1334,42,No,Research & Development,Male,Manager,Married,17861,Yes,High,35-46,Below College,High,High,Near,4-Star
1336,55,No,Research & Development,Female,Manager,Married,19187,No,High,46-55,College,Low,High,Near,4-Star
1338,56,No,Human Resources,Male,Manager,Single,19717,No,High,56?,Masters,High,Medium,Near,2-Star
1340,40,No,Research & Development,Male,Research Scientist,Divorced,3544,No,High,35-46,College,High,High,Far,1-Star
1344,34,No,Research & Development,Male,Healthcare Representative,Divorced,8500,No,High,26-35,Bachelor,High,Very-High,Near,2-Star
1346,40,No,Research & Development,Male,Research Scientist,Single,4661,No,High,35-46,Bachelor,High,Very-High,Near,2-Star
1349,41,No,Sales,Female,Sales Executive,Divorced,4103,No,High,35-46,Bachelor,High,Low,Near,2-Star
1350,35,No,Research & Development,Male,Research Scientist,Single,4249,Yes,High,26-35,Masters,High,High,Near,2-Star
1352,51,No,Human Resources,Male,Manager,Divorced,14026,Yes,High,46-55,Bachelor,High,Medium,Near,Elders
1355,38,No,Sales,Female,Sales Executive,Divorced,6893,No,High,35-46,College,High,Low,Near,2-Star
1356,34,No,Sales,Female,Sales Executive,Single,6125,No,High,26-35,College,High,Low,Far,2-Star
1358,25,No,Research & Development,Male,Laboratory Technician,Married,3669,No,High,18-25,Below College,High,Very-High,Far,1-Star
1360,58,Yes,Research & Development,Female,Manufacturing Director,Married,10008,Yes,High,56?,Masters,Medium,Low,Near,2-Star
1361,40,No,Research & Development,Male,Laboratory Technician,Married,2387,No,Low,35-46,Masters,High,Medium,Near,1-Star
1362,36,No,Sales,Female,Sales Executive,Married,4639,No,High,35-46,Bachelor,Very-High,Low,Near,3-Star
1363,48,No,Research & Development,Male,Manufacturing Director,Single,7898,No,High,46-55,Bachelor,High,Very-High,Near,2-Star
1364,27,No,Sales,Female,Sales Representative,Married,2534,No,High,26-35,Bachelor,Very-High,Very-High,Far,Newbies
1367,51,No,Research & Development,Female,Manufacturing Director,Single,13142,No,High,46-55,College,Medium,Medium,Far,1-Star
1368,18,No,Research & Development,Female,Laboratory Technician,Single,1611,No,High,18-25,Bachelor,High,Very-High,Near,Newbies
1369,35,No,Research & Development,Female,Laboratory Technician,Married,5363,No,High,26-35,Bachelor,Medium,Very-High,Near,2-Star
1371,27,No,Sales,Male,Sales Executive,Single,5071,No,Low,26-35,Below College,Low,Very-High,Near,2-Star
